word, sentences,english_meaning
"die Einzelheit, -en",Du musst mir das in allen Einzelheiten erzählen.,the detail
einzig-,"1. Wir waren die einzigen Gäste.
2. Das war das einzige Mal, dass ich ihn gesehen habe.",only-
"einziehen, zieht ein, zog ein, ist eingezogen",Die Wohnung ist fertig. Wir können nächste Woche einziehen.,move in
das Eis,"1. Im Winter gibt es Eis und Schnee.
2. Bitte eine Cola ohne Eis.",the ice cream
"das Eis (D, A)
→ CH: Glace/Glacé",Zum Nachtisch gibt es Schokoladeneis.,the ice (D
"die Eisenbahn, -en",Die Kinder wünschen sich eine elektrische Eisenbahn.,the railway
elegant,Ich finde dein Kleid sehr elegant.,elegant
elektrisch,"Wir kochen nicht mit Gas, sondern elektrisch.",electric
Elektro-,"z.B. Elektrogeschäft, Elektroingenieur, Elektroherd",electrical
elektronisch,"Wir sollten die Daten elektronisch bearbeiten, sonst dauert es zu lange.",electronically
die Eltern (Pl.),Ich wohne noch bei meinen Eltern.,the parents (pl.)
"empfangen, empfängt, empfing, hat empfangen","1. Wir können mit unserem Fernseher über 30 Programme empfangen.
2. Die Gäste wurden sehr herzlich empfangen.",received
"der Empfang, ¨-e","1. Bitte den Empfang bestätigen!
2. Ich bin mit dem Fernseher nicht zufrieden. Der Empfang ist sehr schlecht.
3. Zur Firmeneröffnung bitten wir zu einem kleinen Empfang.",the reception
"der Empfänger, -",Es fehlt die genaue Adresse des Empfängers.,the recipient
"empfehlen, empfiehlt, empfahl, hat empfohlen",Was können Sie mir denn empfehlen?,recommend
"die Empfehlung, -en",Ich rufe auf Empfehlung von Herrn Weber an.,the recommendation
"enden, endet, endete, hat geendet","1. Die Straße endet hier.
2. Das Arbeitsverhältnis endet im Mai.",end
das Ende,"1. Ich wohne am Ende der Straße.
2. Die nächste Prüfung findet Ende August statt.
3. Rinaldo ist Ende fünfzig.
4. Am Dienstag gehen die Ferien zu Ende.",the end
endgültig,"1. Damit ist das Problem endgültig gelöst.
2. Der endgültige Termin steht noch nicht fest.
3. Das Ergebnis ist noch nicht endgültig.",finally
endlich,"1. Endlich haben wir eine schöne Wohnung gefunden.
2. Haben Sie sich nun endlich entschieden?",finally
"die Energie, -n","1. Wir müssen Energie sparen.
2. Abends habe ich keine Energie mehr, um Sport zu machen.",the energy
eng,"1. Die Jacke ist mir zu eng.
2. Wir arbeiten mit dieser Firma eng zusammen.",closely
"der Enkel, -
die Enkelin, -nen",Alle meine Enkel gehen schon zur Schule.,the grandson
"entdecken, entdeckt, entdeckte, hat entdeckt",Ich habe in deinem Brief noch ein paar Fehler entdeckt.,discover
"entfernen, entfernt, entfernte, hat entfernt","1. Der Müll muss dringend entfernt werden.
2. Das Hotel liegt etwa 100 m vom Strand entfernt.",remove
"die Entfernung, -en",Aus dieser Entfernung ist das nicht zu erkennen.,the distance
entgegenkommen,"1. Auf dem Weg nach Hause ist mir mein Nachbar entgegengekommen.
2. Können Sie mir mit dem Preis entgegenkommen?",accommodate
"enthalten, enthält, enthielt, hat enthalten","1. Diese Schokolade enthält nur sehr wenig Zucker.
2. Ist die Änderung im Preis enthalten?",contain
entlang,Gehen Sie diese Straße entlang. Dann kommen Sie direkt zum Bahnhof.,along
"entlassen, entlässt, entließ, hat entlassen","1. Die Operation ist gut gelaufen. Wir können Sie nächste Woche aus dem Krankenhaus entlassen.
2. Die Firma hat viele Mitarbeiter entlassen.",dismissed
"die Entlassung, -en",Seine Entlassung aus der Firma kam überraschend.,the dismissal
"entscheiden, entscheidet, entschied, hat entschieden","1. Das kann ich nicht allein entscheiden, da muss ich erst fragen.
2. Für welchen Anzug haben Sie sich entschieden?",decide
"die Entscheidung, -en",Diese wichtige Entscheidung möchte ich zuerst mit meinem Mann besprechen.,the decision
unentschieden,"1. Es steht unentschieden zwischen den beiden Mannschaften.
2. Ich bin noch immer unentschieden, was ich morgen tun soll.",draw
"sich entschließen, entschließt sich, entschloss sich, hat sich entschlossen","Mein Nachbar hat sich nun doch entschlossen, sein Auto zu verkaufen.",decide
entschlossen,"Ich bin fest entschlossen, diese Ausbildung fertigzumachen.",determined
"entschuldigen, entschuldigt, entschuldigte, hat entschuldigt","1. Entschuldigen Sie bitte, dass ich Sie störe. Aber es gibt ein Problem.
2. Herr Meier lässt sich entschuldigen, er ist stark erkältet.",excuse
"die Entschuldigung, -en","Oh, Entschuldigung! – Macht nichts. Kein Problem.",the apology
"entsorgen, entsorgt, entsorgte, hat entsorgt",Wie kann ich meine alte Kaffeemaschine entsorgen?,dispose
entspannend,Der Urlaub war sehr entspannend.,relaxing
"entstehen, entsteht, entstand, ist entstanden","1. Hier entsteht ein neues Einkaufszentrum.
2. Andere Kosten entstehen nicht.",arise
"enttäuschen, enttäuscht, enttäuschte, hat enttäuscht","1. Leider hat mich sein Verhalten enttäuscht.
2. Wir waren von dem Konzert sehr enttäuscht.
3. Das Ergebnis war enttäuschend.",disappoint
"die Enttäuschung, -en",Das Endspiel war eine große Enttäuschung.,the disappointment
entweder ... oder,"Nur einer kann gewinnen, entweder du oder ich.",either ... or
"entwickeln, entwickelt, entwickelte, hat entwickelt","1. Unser Sohn entwickelt sich gut in der Schule.
2. Die Firma hat ein neues Produkt entwickelt.",develop
"die Entwicklung, -en",Genug Schlaf ist wichtig für die Entwicklung Ihres Kindes.,the development
die Erde,"1. Die Pflanzen brauchen neue Erde.
2. Mein Sohn hat das Glas auf die Erde fallen lassen.
3. An der Konferenz nehmen Vertreter aus fast allen Ländern der Erde teil.",the earth
"der Erdapfel, ¨- (A)
→ Kartoffel",Kann ich bitte noch Erdäpfel bekommen?,the potato
"das Erdgeschoss/ Ergeschoß, -e",Unsere Wohnung befindet sich im Erdgeschoss.,the ground floor/first floor
"das Ereignis, -se","1. Alle Zeitungen haben über diese Ereignisse berichtet.
2. Das Konzert war ein großes Ereignis.",the event
"sich ereignen, ereignet sich, ereignete sich, hat sich ereignet",Der Unfall ereignete sich am frühen Morgen.,occur
"erfahren, erfährt, erfuhr, hat erfahren",Wann erfahren wir das Ergebnis der Prüfung?,experience
"die Erfahrung, -en","1. Ich habe zehn Jahre Erfahrung in diesem Beruf.
2. Mit diesem Gerät haben wir gute Erfahrungen gemacht.",the experience
"erfinden, erfindet, erfand, hat erfunden",Das Rad wurde vor ca. 6000 Jahren erfunden.,invent
"die Erfindung, -en",Die Erfindung des Buchdrucks war sehr wichtig für die Menschen.,the invention
"der Erfolg, -e","1. Der Film war ein großer Erfolg.
2. Ich wünsche Ihnen viel Erfolg bei der Prüfung.",the success
erfolgreich,Mein Großvater war ein erfolgreicher Geschäftsmann.,successful
erforderlich,"1. Hier ist die Liste der erforderlichen Zutaten für den Kuchen.
2. Es ist erforderlich, dass man den Pass persönlich abholt.",necessary
"erfordern, erfordert, erforderte, hat erfordert",Dieser Job erfordert viel Kraft.,require
"erfüllen, erfüllt, erfüllte, hat erfüllt","1. Sie müssen den Vertrag in allen Punkten erfüllen.
2. Wir erfüllen Ihnen jeden Wunsch.",fulfill
"ergänzen, ergänzt, ergänzte, hat ergänzt",Ergänzen Sie bitte die fehlenden Angaben.,add to
"das Ergebnis, -se",Ein so gutes Ergebnis hat uns alle überrascht.,the result
"erhalten, erhält, erhielt, hat erhalten",Ihr Schreiben vom 3. Januar haben wir erhalten.,receive
"erhöhen, erhöht, erhöhte, hat erhöht","1. Die Regierung wird sicher bald wieder die Steuern erhöhen.
2. Die Zahl der Unfälle hat sich stark erhöht.",increase
"die Erhöhung, -en",Wir streiken für eine Lohnerhöhung.,the increase
"sich erholen, erholt sich, erholte sich, hat sich erholt","1. Im Urlaub habe ich mich sehr gut erholt.
2. Er hat sich nach dem Unfall sehr schnell wieder erholt.",to recover
"die Erholung, -en",Ich habe zu viel gearbeitet. Jetzt brauche ich etwas Erholung.,the recovery
"erinnern, erinnert, erinnerte, hat erinnert","1. Bitte, erinnern Sie mich noch einmal an den Termin
2. Ich erinnere mich noch genau an Francescos Vater.",remember
"die Erinnerung, -en",An diese Zeit habe ich viele schöne Erinnerungen.,the memory
"sich erkälten, erkältet sich, erkältete sich, hat sich erkältet",Der Junge hat sich beim Baden erkältet.,catch a cold
erkältet,Ich bin stark erkältet.,caught a cold
"die Erkältung, -en",Du hast eine schlimme Erkältung!,the cold
"erkennen, erkennt, erkannte, hat erkannt","1. Ich habe Roberto gleich an seiner Stimme erkannt.
2. Auf dem Foto kann man kaum etwas erkennen.
3. Ich habe erkannt, dass es ein Fehler war, den Kurs nicht fertigzumachen.",recognize
"erklären, erklärt, erklärte, hat erklärt","1. Kannst du mir erklären, wie man diesen Apparat bedient?
2. Ich kann mir nicht erklären, wie der Brief verschwinden konnte.",explain
"die Erklärung, -en","1. Hast du schon die Steuererklärung gemacht?
2. Die Erklärung der Lehrerin ist besser als die Erklärung im Buch.",the explanation
"sich erkundigen, erkundigt sich, erkundigte sich, hat sich erkundigt","1. Hast du dich schon nach einem Zug erkundigt?
2. Ich möchte mich erkundigen, wie es Ihnen geht.",inquire
"erlauben, erlaubt, erlaubte, hat erlaubt","1. Ich erlaube meinen Kindern nicht, so lange fernzusehen.
2. Parken ist hier nicht erlaubt.",allow
die Erlaubnis,Sie hätten ihn vorher um Erlaubnis bitten müssen.,the permission
"erleben, erlebt, erlebte, hat erlebt",In unserem Urlaub haben wir viel Schönes erlebt.,experience
"das Erlebnis, -se",Die Reise war ein tolles Erlebnis.,the experience
"erledigen, erledigt, erledigte, hat erledigt",Diese zwei Pakete müssen zur Post. Könntest du das für mich erledigen?,complete
"erleichtern, erleichtert, erleichterte, hat erleichtert","1. Ich bin erleichtert, dass alles so gut geklappt hat.
2. Das Internet erleichtert mir die Arbeit sehr.",facilitate
"die Ermäßigung, -en",Es gibt eine Ermäßigung für Kinder und Senioren.,the discount
"ernähren, ernährt, ernährte, hat ernährt","1. Wie ernähre ich mich richtig?
2. Meine Eltern müssen beide arbeiten, um die Familie zu ernähren.",feed
die Ernährung,Ich finde eine gesunde Ernährung wichtig.,the diet
ernst,Der starke Verkehr ist ein ernstes Problem.,serious
ernsthaft,"Ich überlege ernsthaft, ob ich in eine andere Stadt ziehen soll.",seriously
"die Ernte, -n",Die Ernte ist dieses Jahr gut.,the harvest
"eröffnen, eröffnet, eröffnete, hat eröffnet","1. Mein Nachbar hat letzten Monat ein Geschäft eröffnet.
2. Ich möchte ein Konto eröffnen.",open
"die Eröffnung, -en",Die Eröffnung der neuen Oper ist am 1. Juni.,the opening
"erreichen, erreicht, erreichte, hat erreicht","1. Wenn wir uns beeilen, erreichen wir noch den 8-Uhr-Zug.
2. Bis 17 Uhr können Sie mich im Büro erreichen.
3. Auf diese Art erreichen Sie bei mir gar nichts.
4. Dieser Zug erreicht eine Geschwindigkeit von 200 km/h.",to reach
erschöpft,Nach dem Sport bin ich immer sehr erschöpft.,exhausted
"erschrecken, erschrickt, erschrak, ist erschrocken/ jdn. erschrecken, erschreckt, erschreckte, hat erschreckt","1. Du hast richtig krank ausgesehen. Ich war ganz erschrocken.
2. Hast du mich aber erschreckt!
3. Entschuldigung. Ich wollte Sie nicht erschrecken.",scare
"ersetzen, ersetzt, ersetzte, hat ersetzt","1. Wir ersetzen Ihnen die Kosten.
2. Peter ist krank. Jemand muss ihn ersetzen.",substitute
der Ersatz,Sie bekommen von unserer Firma einen Ersatz für das kaputte Gerät.,the replacement
erst,"1. Sofia ist erst 20 Jahre alt.
2. Ich habe das erst gestern erfahren.
3. Sprich erst mit dem Arzt.
4. Erst hat mir die Arbeit gar nicht gefallen, aber jetzt habe ich mich daran gewöhnt.",first
erst-,"1. Ich war zum ersten Mal allein im Urlaub.
2. Ich wohne im ersten Stock.
3. An erster Stelle kommt die Schule.",first-
"erstellen, erstellt, erstellte, hat erstellt","Erstellen Sie bitte eine Liste mit allen Informationen, die Sie brauchen.",create
erwachsen,"1. Die Kinder sind schon fast erwachsen.
2. Wir haben zwei erwachsene Töchter.",adult
"der Erwachsene, -n","1. Erwachsene zahlen 5 Euro, für Kinder ist der Eintritt frei.
2. Dieser Film ist nur für Erwachsene.",the adult
"erwarten, erwartet, erwartete, hat erwartet","1. Ich erwarte einen Anruf aus Berlin.
2. Frau Müller erwartet ein Kind.
3. Wir hatten nichts anderes erwartet.
4. Ich kann es gar nicht erwarten, euch wieder zu sehen.",expect
"erzählen, erzählt, erzählte, hat erzählt","1. Mein Mann hat mir schon viel von Ihnen erzählt.
2. Ich muss meinen Kindern abends immer eine Geschichte erzählen.",tell
"die Erzählung, -en",Diese Erzählung ist sehr berühmt. Du musst sie lesen.,the narrative
"erziehen, erzieht, erzog, hat erzogen",Kinder zu erziehen ist nicht leicht.,educate
die Erziehung,Heute kümmern sich auch viele Väter um die Erziehung der Kinder.,the education
es,"1. Mein Auto muss in die Werkstatt. Es ist kaputt.
2. Wissen Sie nicht, wo Herr Müller ist? - Nein, ich weiß es nicht.
3. Es wurden bei der Diskussion viele Fragen gestellt.
4. Wer ist da? – Ich bin’s.
5. Mir geht es gut.
6. Ich finde es sehr nett von Ihnen, dass Sie mich abholen.
7. Es macht Spaß, zusammen ein Picknick zu machen.",it
"essen, isst, aß, hat gegessen","1. Haben Sie schon zu Mittag gegessen?
2. Ich esse gern Bananen.
3. Was gibt es heute zu essen?",eat
"das Essen, -","1. Darf ich Sie zum Essen einladen?
2. Das Essen ist kalt geworden.",the food
der Essig,Am Salat fehlt noch etwas Essig.,the vinegar
"die Etage, -n (D, CH)
→ Stock","Das Büro ist in der 3. Etage, Zimmer 305.",the floor
etwa,"1. Von hier sind es etwa zwanzig Kilometer.
2. Von zu Hause brauche ich etwa 10 Minuten bis zur Arbeit.
3. Du bist doch nicht etwa krank?",approximately
etwas,"1. Ich muss dir etwas erzählen.
2. Ich habe nur Tee. Etwas anderes kann ich Ihnen leider nicht anbieten.
3. Haben Sie etwas zum Schreiben?
4. Wollen wir mit dem Nachtisch noch etwas warten?
5. So etwas habe ich noch nie gehört.
6. Ich habe etwas Gutes für dich gekocht.",something
eventuell,Ich komme eventuell etwas später.,possibly
ewig,Ich warte schon ewig auf mein neues Auto!,forever
"der Experte, -n",Ich verstehe ein bisschen was von Computern. Aber ich bin kein Experte.,the expert
"der Export, -e","1. Hier ist die Firma Schulz, Import und Export.
2. Sonja arbeitet in der Exportabteilung.",the export
extra,"1. Die Getränke kosten extra.
2. Warum sind Sie nicht gekommen? Ich habe extra auf Sie gewartet.",extra
extrem,Die Prüfung war extrem schwer.,extreme
"die Fabrik, -en",Ich arbeite in einer Autofabrik.,the factory
"das Fach, ¨-er","1. Die Handtücher sind im obersten Fach links.
2. Welches Fach magst du in der Schule am liebsten?",the subject
"der Fachmann
die Fachfrau, -en",Meine Schwester ist Computerfachfrau.,"the expert
the specialist"
die Fachleute (Pl.),Die suchen Fachleute für dieses Computerprogramm.,the experts (pl.)
"die Fähigkeit, -en","1. In seiner Position braucht man die Fähigkeit, andere zu überzeugen.
2. Ich glaube, sie hat die Fähigkeit dazu.",the ability
"fahren, fährt, fuhr, ist/hat gefahren","1. Wir sind mit dem Zug gefahren.
2. Fahr nicht so schnell.
3. Frau Koch fährt einen Mercedes.
4. Soll ich dich nach Hause fahren?
5. Er hat das Auto in die Garage gefahren.",drive
"die Fähre, -n",Wir nehmen die Fähre über den Bodensee.,the ferry
"die Fahrbahn, -en",Fahren Sie bitte vorsichtig. Es sind Kühe auf der Fahrbahn.,the roadway
"der Fahrer, -","1. Die Fahrerin des Wagens wurde nicht verletzt.
2. Leonid ist von Beruf Busfahrer.
3. Während der Fahrt bitte nicht mit dem Fahrer sprechen!",the driver
"die Fahrkarte, -n
→ CH: Billet",Fahrkarten bekommt man am Automaten.,the ticket
"der Fahrplan, ¨-e","1. Der Fahrplan hat sich geändert.
2. Haben Sie schon den neuen Sommerfahrplan?",the timetable
"das Fahrrad, ¨-er
→ D, A: Rad; CH: Velo",Sie fährt jeden Morgen mit dem Fahrrad zur Arbeit.,the bike
"das Fahrzeug, -e",Wem gehört das Fahrzeug?,the vehicle
fair,"Ich finde, unsere Mannschaft hat sehr fair gespielt.",fair
"der Faktor, -en",Die Creme hat einen hohen Sonnenschutzfaktor.,the factor
"der Fall, ¨-e","1. Was würden Sie in diesem Fall tun?
2. Rufen Sie auf jeden Fall vorher noch einmal an.
3. Für den Fall, dass meine Mutter aus dem Krankenhaus kommt, bleibe ich zu Hause.",the case
"fallen, fällt, fiel, ist gefallen","1. Das Glas ist auf den Boden gefallen.
2. In den Bergen ist schon Schnee gefallen.
3. Die Temperatur ist ganz plötzlich unter null gefallen.",fall
fällig,Die Rechnung ist Énde des Monats fällig.,due
falls,"Falls es regnet, machen wir kein Picknick.",if
falsch,"1. Tut mir leid, ich habe die falsche Nummer gewählt.
2. Meine Uhr geht falsch.
3. Was Sie da sagen, ist falsch.",incorrect
"die Familie, -n",Ich habe eine große Familie.,the family
"der Familienstand (D, A)
→ Personenstand; CH: Zivilstand",Bei „Familienstand“ musst du „ledig“ ankreuzen.,marital status (D
"fangen, fängt, fing, hat gefangen","1. Das Kind hat den Ball gefangen.
2. Unsere Katze hat eine Maus gefangen.",catch
"die Fantasie/Phantasie, -n",Mein Sohn malt sehr gut. Er hat viel Fantasie.,the fantasy/fantasy
fantastisch,Die Aussicht ist fantastisch!,fantastic
"die Farbe, -n","1. Welche Farbe magst du am liebsten?
2. Diese Farbe trocknet schnell.",the color
farbig,"Ich brauche kein weißes, sondern farbiges Papier.",colored
"das Faschierte (A)
→ D, CH: Hackfleisch",Geben Sie mir bitte 500 g Faschiertes.,"the minced meat (A)
→ D"
"der Fasching, - (D, A)
→ D: Karneval; CH: Fasnacht",Dort hängt mein Kostüm für den Faschings(um)zug.,the carnival
"die Fasnacht (CH)
→ D, A: Fasching; D: Karneval",Dort hängt mein Kostüm für den Fasnachtsumzug.,"carnival (CH)
→ D"
"fassen, fasst, fasste, hat gefasst","1. Sie haben den Dieb gefasst.
2. Ich habe den Entschluss gefasst, nach Wien zu ziehen.",grasp
fast,"1. Das Konzent ist fast zu Ende.
2. Ich habe fast alles verstanden.",almost
faul,"1. Mein Sohn war am Anfang in der Schule sehr faul. Heute lernt er sehr fleißig.
2. Den Apfel kannst du nicht mehr essen. Er ist faul.",lazy
"faulenzen, faulenzt, faulenzte, hat gefaulenzt",Am Wochenende können wir faulenzen.,laze around
"der Fauteuil, -s (A, CH)
→ D, CH: Sessel",Ich hätte gern einen bequemen Fauteuil.,the armchair
"fehlen, fehlt, fehlte, hat gefehlt","1. Auf dem Brief fehlt der Absender.
2. Hast du Kleingeld? Mir fehlt ein Euro.
3. In der Kasse fehlen 20 Euro.
4. Antonio war nicht in der Schule, er fehlt schon seit drei Tagen.
5. Was fehlt Ihnen? Haben Sie Schmerzen?",miss
"der Fehler, -","1. Ich glaube, da haben Sie einen Fehler gemacht.
2. Die Schülerin hat den Fehler sofort gefunden.",the error
"feiern, feiert, feierte, hat gefeiert",Wir haben gestern Karls Geburtstag gefeiert.,celebrate
"die Feier, -n",Es war eine schöne Feier.,the party
der Feierabend,Einen schönen Feierabend.,the end of the day
"der Feiertag, -e","1. Am Montag ist Feiertag.
2. Schöne Feiertage.",the holiday
"das Feld, -er",Auf diesem Feld wächst Gemüse.,the field
"das Fenster, -",Darf ich einen Moment das Fenster aufmachen?,the window
"die Ferien (Pl.) (CH)
→ D, A: Urlaub",Ich habe noch drei Tage Ferien.,"the holidays (pl.) (CH)
→ D"
Ferien-,Ich suche eine günstige Ferienwohnung.,Holidays-
"die Fernbedienung, -en",Hast du die Fernbedienung gesehen?,the remote control
"fernsehen, sieht fern, sah fern, hat ferngesehen",Meine Kinder dürfen abends nur eine Stunde fernsehen.,TV
das Fernsehen,Was gibt es heute Abend im Fernsehen?,the television
"der Fernseher, -",Der Fernseher ist schon wieder kaputt.,the TV
fertig,"1. Das Essen ist gleich fertig.
2. Wenn ich mit der Arbeit fertig bin, gehe ich nach Hause.
3. Bist du fertig?
4. Das war ein schlimmer Tag. Ich bin total fertig.",complete
fest,"1. Mein Kollege glaubt fest daran, dass er die neue Stelle bekommt.
2. Als wir nach Hause kamen, haben die Kinder schon fest geschlafen.
3. Für die nächste Familienfeier gibt es noch keinen festen Termin.",firmly
"das Fest, -e","1. Wenn ich 18 werde, feiern wir ein großes Fest.
2. Frohes Fest!",the party
"die Festplatte, -n",Mein Computer hat eine große Festplatte.,the hard drive
"festhalten, hält fest, hielt fest, hat festgehalten","1. Halt dich gut fest.
2. Halt die Flasche gut fest.",hold onto
"festlegen, legt fest, legte fest, hat festgelegt","1. Ich weiß noch nicht, ob ich das mache. Ich möchte mich noch nicht festlegen.
2. Habt ihr den Hochzeitstermin schon festgelegt?",establish
"festnehmen nimmt fest, nahm fest, hat festgenommen.",Die Polizei hat einen Mann festgenommen.,arrest arrests
"festsetzen, setzt fest, setzte fest, hat festgesetzt",Die Schule hat den Termin für die Prüfung festgesetzt.,fix
"feststehen, steht fest, stand fest, ist festgestanden",Der Termin steht seit Langem fest.,stand firm
"feststellen, stellt fest, stellte fest, hat festgestellt","1. Er hat festgestellt, dass der Absender des Briefes falsch war.
2. Der Arzt hat mich untersucht, konnte aber nichts feststellen.",notice
fett,"1. Die Wurst ist mir zu fett.
2. Das ist aber eine fette Katze!",fat
das Fett,Man soll nicht so viel Fett essen.,the fat
feucht,"1. Die Wäsche ist noch feucht.
2. Es ist heute feucht draußen.",moist
das Feuer,"1. Der Schaden durch das Feuer war sehr groß.
2. Haben Sie Feuer?",the fire
"das Feuerzeug, -e",Ist das Feuerzeug neu?,the lighter
"die Feuerwehr, -en",Schnell! Rufen Sie die Feuerwehr! Die Nummer ist: 112.,the fire department
das Fieber,Plötzlich habe ich hohes Fieber bekommen.,the fever
"die Figur, -en","1. Lars hat eine gute Figur.
2. Bei diesem Spiel hat jeder Spieler vier Figuren.",the figure
"der Film, -e",Den Film musst du dir unbedingt ansehen.,the film
"finanzieren, finanziert, finanzierte, hat finanziert","Ich weiß nicht, wie ich das Auto finanzieren soll.",finance
finanziell,Finanziell geht es meinem Neffen jetzt besser.,financially
"finden, findet, fand, hat gefunden","1. Meine Tante hat eine gute Arbeit gefunden.
2. Ich kann meinen Schlüssel nicht finden.
3. Luigi finde ich sehr nett.",find
"der Finger, -",Alessandro hat sich in den Finger geschnitten.,the finger
"die Firma, Firmen",Seit wann arbeiten Sie bei dieser Firma?,the Company
flach,"1. Für die Arbeit brauche ich flache Schuhe.
2. An dieser Stelle ist der See sehr flach.",flat
"die Fläche, -n",Unsere Wohnung hat eine Wohnfläche von 100 m².,the area
"die Flasche, -n","1. Wo kann man die leeren Flaschen zurückgeben?
2. Eine Flasche Bier bitte.",the bottle
"der Fleck, -en",Du hast einen Fleck auf der Bluse.,the stain
das Fleisch,Fleisch mag ich nicht.,the meat
"der Fleischhauer, -
die Fleischhauerin, -nen (A)
→ Metzger",Dieser Fleischhauer macht sehr gute Wurst.,the butcher
fleißig,Pamela ist wirklich fleißig. Sie macht immer ihre Hausaufgaben.,diligent
flexibel,Meine Arbeitszeit ist flexibel.,flexible
"fliegen, fliegt, flog, ist geflogen","1. Der Vogel ist auf einen Baum geflogen.
2. Diese Maschine fliegt direkt nach New York.
3. Ich bin nach Berlin geflogen.",fly
"fliehen, flieht, floh, ist geflohen",Der Einbrecher ist sofort geflohen.,flee
die Flucht,Der Einbrecher war schon auf der Flucht.,the escape
"fließen, fließt, floss, ist geflossen",Dieser Fluss fließt in die Nordsee.,flow
fließend,"1. Mein Kollege spricht fließend Deutsch.
2. Zimmer mit fließendem Wasser.",fluent
"der Flohmarkt, ¨-e
die Flöte, -n",Diesen Hut habe ich am Flohmarkt gekauft. Sie spielt sehr schön Flöte.,the flea market
"der Flug, ¨-e",Ich habe den Flug für Sie gebucht.,the flight
"der Flughafen, ¨-",Der Flughafen liegt 30 km außerhalb der Stadt.,the airport
"das Flugzeug, -e",Das Flugzeug ist gerade gelandet.,The plane
"der Flur, -e
→ Gang; D, CH: Korridor",Wir warten draußen im Flur.,the corridor
"der Fluss, ¨-e",Wie heißt dieser Fluss?,the river
"die Flüssigkeit, -en",Dieses Medikament mit viel Flüssigkeit einnehmen.,the liquid
"folgen, folgt, folgte, ist gefolgt","1. Es folgen die Nachrichten.
2. Folgen Sie der Reiseleiterin.",consequences
"die Folge, -n",Die Folgen des Unfalls waren schlimm.,the consequence
folgend,"1. Mehr Informationen auf den folgenden Seiten.
2. Das Geschäft hat folgende Angebote: …",following
"fordern, fordert, forderte, hat gefordert",Die Arbeitnehmer fordern mehr Geld.,demand
"die Forderung, -en",Alle Forderungen der Arbeitnehmer kann man in dieser E-Mail lesen.,the requirement
"fördern, fördert, förderte, hat gefördert",Die Stadt fördert viele Sportprojekte.,support financially
"die Förderung, -en",Für das Projekt bekommen wir eine Förderung von der Stadt.,the funding
"die Form, -en","1. Diese Schuhe haben eine schöne Form.
2. Ich möchte für den Geburtstag einen Kuchen backen. Kannst du mir eine Backform leihen?",the shape
"das Formular, -e",Füllen Sie bitte dieses Formular aus.,the form
"die Forschung, -en",Er arbeitet in der Forschung.,the research
"die Fortbildung, -en","Die Fortbildung, die ich machen will, ist sehr teuer.",the training
"der Fortschritt, -e",Ich habe beim Deutschlernen große Fortschritte gemacht.,the progress
"fortsetzen, setzt fort, setzte fort, hat fortgesetzt",Wir setzen die Behandlung am nächsten Donnerstag um 11 Uhr fort.,continue
"die Fortsetzung, -en",Fortsetzung folgt.,the sequel
"das Forum, Foren (Internetforum)",Ich melde mich heute bei diesem Forum an.,the forum
"fotografieren, fotografiert, fotografierte, hat fotografiert",Ich fotografiere gern.,photograph
"das Foto, -s",Können Sie dieses Foto vergrößern?,the photo
"der Fotoapparat, -e",Ich möchte mir einen Fotoapparat kaufen.,the camera
"der Fotograf, -en",Die Fotografin hat sehr schöne Fotos gemacht.,the photographer
"die Fotografie, -n",Ich interessiere mich für Fotografie.,the photography
"fragen, fragt, fragte, hat gefragt","1. Darf ich Sie etwas fragen?
2. Hat jemand nach mir gefragt?
3. Ich frage mich, ob das richtig war.",questions
"die Frage, -n","1. Ich habe Ihre Frage leider nicht verstanden.
2. Das kommt gar nicht infrage!",the question
"die Frau, -en","1. In meinem Deutschkurs sind mehr Frauen als Männer.
2. Ist Ihre Frau berufstätig?
3. Guten Tag, Frau Müller!",the woman
frech,Du darfst in der Schule nicht so frech sein.,cheeky
frei,"1. Ist dieser Platz noch frei?
2. Morgen haben wir frei.
3. Eintritt frei.
4. Ich trinke nur alkoholfreies Bier.
5. Dieses Medikament ist rezeptfrei.
6. Die Schüler können die Arbeitszeit frei wählen.",free
im Freien,Wir wollen heute im Freien übernachten.,outdoors
die Freiheit,"Wir wollen die Freiheit haben, unsere Meinung sagen zu können.",the freedom
die Freizeit,In meiner Freizeit höre ich gern Musik.,the free time
freiwillig,Manchmal bleibe ich freiwillig länger im Büro.,voluntarily
fremd,"1. Ich reise gern in fremde Länder.
2. Ich bin fremd hier.",foreign
"fressen, frisst, fraß, hat gefressen",Hat der Hund schon etwas zu fressen bekommen?,eat
"sich freuen, freut sich, freute sich, hat sich gefreut","1. Es freut mich, dass alles so gut geklappt hat.
2. Ich habe mich über Ihr Geschenk sehr gefreut.
3. Ich freue mich schon auf meinen nächsten Urlaub.",rejoice
die Freude,Diese Arbeit macht mir viel Freude.,the joy
"der Freund, -e",Ich sehe meine Freunde nur am Wochenende.,the friend
freundlich,"1. Er hat uns sehr freundlich begrüßt.
2. Der Mann ist sehr freundlich zu mir.
3. Mit freundlichen Grüßen",friendly
"die Freundschaft, -en",Deine Freundschaft ist mir sehr wichtig.,the friendship
"der Friede, Frieden, -",Endlich ist hier Frieden!,the peace
"frieren, friert, fror, hat gefroren","1. Wenn Sie frieren, mache ich das Fenster wieder zu.
2. Heute Nacht hat es gefroren.",freeze
