German,English
küssen,kiss
der Kuss,the kiss
die Küste,the coast
das Kuvert,the envelope
lächeln,smile
lachen,laugh
der Laden,the store
die Lage,the location
das Lager,the warehouse
die Lampe,the lamp
das Land,the country
die Landwirtschaft,agriculture
die Landschaft,the landscape
landen,land
die Landung,the landing
lang,long
die Länge,the length
lange,long
langsam,slow
längst,long ago
langweilig,boring
sich langweilen,be bored
die Langeweile,the boredom
der Lärm,the noise
lassen,let
der Laster,the vice
laufen,run
das Laufwerk,the drive
die Laune,the mood
laut,loud
der Lautsprecher,the speaker
lecker,yummy
leben,life
das Leben,the life
der Lebenslauf,the CV
die Lebensmittel (Pl.),the food (pl.)
das Leder,the leather
ledig,single
leer,empty
legen,place
die Lehre,the teaching
die Lehrstelle,the apprenticeship
der Lehrer,the teacher
der Lehrling,the apprentice
leicht,light
leid tun,to hurt
leiden,suffer
leider,unfortunately
leihen,lend
leise,quiet
leisten,afford
die Leistung,the performance
leiten,lead
der Leiter,the leader
die Leitung,the line
die Leiter,the ladder
lernen,learn
der Lerner,the learner
lesen,read
der Leser,the reader
letzt-,last-
die Leute (Pl.),the people (pl.)
das Lexikon,the lexicon
das Licht,the light
lieben,love
lieb,dear
die Liebe,love
Lieblings-,Favorite-
das Lied,the song
liefern,delivery
die Lieferung,the delivery
liegen,lay
der Lift,the elevator
die Limonade,the lemonade
die Linie,the line
links,left
link-,link-
die Lippe,the lip
die Liste,the list
die Literatur,the literature
loben,praise
das Loch,the hole
locker,loose
der Löffel,the spoon
der Lohn,the wages
sich lohnen,be worthwhile
das Lokal,the local
los/los-,go Go-
losfahren,drive off
löschen,delete
lösen,solve
die Lösung,the solution
die Luft,the air
lügen,lie
die Lüge,the lie
die Lust,the lust
lustig,funny
machen,make
das Mädchen,the girl
das Magazin,the magazine
der Magen,the stomach
mager,lean
die Mahlzeit,the meal
die Mahnung,the reminder
mal,just
das Mal,the time
malen,paint
der Maler,the painter
man,man
manch-,some-
manchmal,sometimes
der Mangel,the lack
der Mann,the man
männlich,masculine
die Mannschaft,the team
der Mantel,the coat
die Mappe,the folder
das Märchen,the fairy tale
die Margarine,the margarine
die Marille,the apricot
die Marke,the brand
markieren,mark
der Markt,the market
die Marmelade,the jam
die Maschine,the machine
das Material,the material
die Matura (A,the Matura (A
die Mauer,the wall
maximal,maximum
der Mechaniker,the mechanic
die Medien (Pl.),the media (pl.)
das Medikament,the medication
die Medizin,the medicine
das Meer,the sea
das Mehl,the flour
mehr (siehe auch viel),more (see also a lot)
mehrere,several
die Mehrheit,the majority
die Mehrwertsteuer,the VAT
meinen,mean
meinetwegen,for my sake
die Meinung,the opinion
meist-,mostly-
meist(ens),mostly)
der Meister,the master
melden,report
die Meldung,the message
die Menge,the amount
die Mensa,the cafeteria
der Mensch,the human being
menschlich,human
das Menü,the menu
merken,remember
merkwürdig,unusual
die Messe,the fair
messen,measure
das Messer,the knife
das Metall,the metal
die Methode,the method
die Metropole,the metropolis
der Metzger,the butcher
mieten,rent
die Miete,the rent
der Mieter,the tenant
der Migrant,the migrant
die Migration,the migration
die Milch,the milk
mild,mild
die Minderheit,the minority
mindestens,at least
das Mineralwasser,the mineral water
minimal,minimal
mischen,mix
miss-,mis-
mit,with
der Mitarbeiter,the employee
miteinander,each other
das Mitglied,the member
die Mitte,the middle
mitteilen,communicate
das Mittel,the means
mitten,middle
mittler-,medium
mittlerweile,in the meantime
das Möbel,the furniture
möbliert,furnished
möchten,want
mobil/mobil-,mobile/mobile
die Mobilbox,the mobile box
die Mobilität,the mobility
das Mobiltelefon,the cell phone
die Mode,the fashion
das Modell,the model
modern,modern
mögen,like
möglich,possible
die Möglichkeit,the possibility
möglichst,possible
die Möhre,the carrot
der Moment,the moment
der Mond,the moon
der Monitor,the monitor
der Motor,the engine
das Motorrad,the motorcycle
müde,tired
die Mühe,the effort
der Müll,the garbage
die Müllabfuhr,the garbage disposal
die Mülltonne,the garbage can
der Mund,the mouth
mündlich,oral
die Münze,the coin
das Museum,the museum
die Musik,the music
musikalisch,musical
der Musiker,the musician
der Muskel,the muscle
das Müesli/Müsli,the muesli/muesli
müssen,must
der Mut,the courage
mutig,brave
die Mutter,the mother
nach,after
der Nachbar,the neighbor
nachdem,after
nachdenken,ponder
die Nachfrage,the demand
nachher,afterward
die Nachhilfe,the tutoring
die Nachricht,the message
nachschlagen,look up
die Nachspeise,the dessert
nächst-,next-
der Nachteil,the disadvantage
der Nachwuchs,the offspring
die Nadel,the needle
der Nagel,the nail
nah(e),vicinity)
die Nähe,the nearness
nähen,sew
sich nähern,approach
das Nahrungsmittel,the food
der Name,the name
der Familienname,the family name
der Vorname,the first name
nämlich,namely
die Nase,the nose
nass,wet
national/national-,national/national-
die Natur,the nature
natürlich,naturally
der Nebel,the fog
neblig,foggy
neben,next to
nebenan,next door
nebenbei,alongside
der Neffe,the nephew
negativ,negative
nehmen,take
nein,no
nennen,to name
der Nerv,the nerve
nervös,nervous
nett,nice
das Netz,the network
das Netzwerk,the network
neu,new
die Neuigkeit,the news
neugierig,curious
neulich,recently
nicht,not
die Nichte,the niece
der Nichtraucher,the non-smoker
nichts,nothing
nie,never
niedrig,low
niemand,no one
nirgends,nowhere
nirgendwo,nowhere
noch,still
noch mal,again
nochmals,again
normal,normal
normalerweise,normally
die Notaufnahme,the emergency room
der Notausgang,the emergency exit
der Notfall,the emergency
der Notruf,the emergency call
die Note,the note
notieren,note down
nötig,necessary
die Notiz,the note
notwendig,necessary
die Nudel,the noodle
die Nummer,the number
nun,so
nur,only
nutzen,to use
nützen,benefit
nützlich,useful
ob,whether
oben,above
ober-,upper
der Ober,the waiter
"das/der (Schlag-)Obers (A)
→ D: (Schlag-)Sahne; CH: (Schlag-)Rahm","the (whipped) cream (A)
→ D: (whipped) cream; CH: (whipped) cream"
das Obst (D,the fruit (D
obwohl,although
oder,or
der (Back-)Ofen,the (baking) oven
offen,open
öffentlich,public
die Öffentlichkeit,the public
veröffentlichen,publish
offenbar,apparently
offiziell,officially
öffnen,open
oft/öfter,often/more often
ohne,without
das Ohr,the ear
Öko- (ökologisch),eco- (ecological)
das Öl,the oil
die Oma,the grandma
der Onkel,the uncle
der Opa,the grandpa
die Oper,the opera
operieren,operate
die Operation,the operation
das Opfer,the victim
optimistisch,optimistic
die Orange,the orange
das Orchester,the orchestra
ordentlich,orderly
die Ordination,the ordination
die Ordination,the ordination
ordnen,arrange
der Ordner,the folder
die Ordnung,the order
organisieren,organize
die Organisation,the organization
das Original,the original
original,original
der Ort,the place
der Vorort,the suburb
der Wohnort,the place of residence
der Ozean,the ocean
(ein) paar,(a couple
das Paar,the couple
packen,pack
das Paket,the package
die Panne,the breakdown
das Papier,the paper
der Paradeiser,the tomato
parallel,parallel
das Parfüm,the perfume
der Park,the park
parken,park
parkieren,park
der Partner,the partner
die Party,the party
der Pass,the passport
der Passagier,the passenger
passen,fit
passieren,happen
passiv,passive
der Patient,the patient
pauschal,lump sum
die Pause,the break
das Pech,the bad luck
peinlich,awkward
die Pension,the guesthouse
die Pension,the guesthouse
in Pension gehen/sein (D,to retire/be retired (D
pensioniert werden/sein (D,to be/be retired (D
der Pensionist,the pensioner
per,by
perfekt,perfect
der Perron,the platform
die Person,the person
persönlich,personal
die Personalien (Pl.),the personal details (pl.)
"der Personenstand
→ D","the civil status
→ D"
das Personal,the staff
die Pfanne,the pan
der Pfeffer,the pepper
pflanzen,plant
die Pflanze,the plant
das Pflaster,the pavement
die Pflaume,the plum
pflegen,maintain
der Pfleger,the nurse
die Pflicht,the duty
die Phantasie/Fantasie,the imagination/fantasy
das Picknick,the picnic
der Pilz,the mushroom
die Pizza,the pizza
das Plakat,the poster
planen,plan
der Plan,the plan
die Planung,the planning
das Plastik,the plastic
der Platz,the space
plötzlich,suddenly
die Politik,the politics
der Politiker,the politician
politisch,politically
die Polizei,the police
der Polizist,the policeman
die Pommes frites (Pl.),the French fries (pl.)
populär,popular
das Portemonnaie/Portmonee,the wallet/purse
die Portion,the portion
positiv,positive
die Post,the post
die Postleitzahl,the zip code
der Pöstler,the postman
das Poulet,the chicken
das Praktikum,the internship
der Praktikant,the intern
praktisch,practical
präsentieren,present
die Präsentation,the presentation
die Praxis,the practice
die Praxis,the practice
der Preis,the price
preiswert,inexpensive
die Presse,the press
prima,great
privat,private
pro,per
probieren,try out
probieren,try out
das Problem,the problem
produzieren,produce
das Produkt,the product
die Produktion,the production
der Professor,the professor
der Profi,the professional
der Profisportler,the professional athlete
das Programm,the program
das Projekt,the project
der Prospekt,the prospectus
Prost,Cheers
protestieren,protest
der Protest,the protest
der Prozess,the process
prüfen,check
die Prüfung,the exam
das Publikum,the audience
der Pullover,the sweater
der Punkt,the point
pünktlich,on time
die Puppe,the doll
putzen,cleaning
die Qualifikation,the qualification
die Qualität,the quality
das Quartier,the quarter
quer,across
die Quittung,the receipt
das Quiz,the quiz
der Rabatt,the discount
das Rad,the wheel
das Rad,the wheel
der Radfahrer,the cyclist
das Radio,the radio
"der (Schlag-)Rahm (CH)
→ D: (Schlag-)Sahne","the (whipped) cream (CH)
→ D: (whipped) cream"
der Rand,the edge
der Rasen,the lawn
(sich) rasieren,(shave
raten,guess
der Rat,the council
Ratschlag,Advice
das Rätsel,the puzzle
das Rathaus,the town hall
rauchen,smoke
der Raucher,the smoker
der Raum,the space
rauf/rauf-,up/up-
raus/raus-,out/out-
reagieren,react
die Reaktion,the reaction
realisieren,realize
die Realität,the reality
realistisch,realistic
die Recherche,the research
rechnen,calculate
der Rechner,the computer
die Rechnung,the bill
das Recht,the right
rechtlich,legally
recht,right
rechts,right
recht-,right-
rechtzeitig,punctual
reden,talk
die Rede,the speech
reduzieren,reduce
das Referat,the report
die Reform,the reform
das Regal,the shelf
die Regel,the rule
regelmäßig,regularly
regeln,regulate
regnen,rain
der Regen,the rain
die Region,the region
regional,regional
reich,rich
reichen,are sufficient
reif,ripe
der Reifen,the tire
die Reihe,the row
die Reihenfolge,the chronological order
rein,pure
reinigen,clean
die Reinigung,the cleaning
der Reis,the rice
reisen,travel
die Reise,the trip
das Reisebüro,the travel agency
reiten,ride
die Reklame,the advertisement
der Rekord,the record
relativ,relative
die Religion,the religion
rennen,run
die Rente,the pension
"in Rente gehen/sein (D)
→ D","to retire/be (D)
→ D"
der Rentner,the pensioner
reparieren,repair
die Reparatur,the repair
die Reportage,the report
der Reporter,the reporter
reservieren,reserve
die Reservierung,the reservation
der Respekt,the respect
der Rest,the rest
das Restaurant,the restaurant
retten,save
das Rezept,the recipe
die Rezeption/Reception,the reception/reception
der Richter,the judge
richtig,correct
die Richtung,the direction
riechen,smell
riesig,gigantic
das Rind,the beef
der Ring,the ring
das Risiko,the risk
der Rock,the skirt
roh,raw
das (Back-)Rohr,the (baking) pipe
die Rolle,the role
der Roman,the novel
die Rose,the rose
der Rucksack,the backpack
die Rückfahrt,the return journey
die Rückkehr,the return
rückwärts,backward
der Rücken,the back
die Rücksicht,the consideration
das Rüebli,the carrot
rufen,call
die Rufnummer,the phone number
die Ruhe,the calm
ruhig,quiet
rund,around
die Runde,the round
die Rundfahrt,the tour
der Saal,the hall
die Sache,the thing
der Sack,the bag
der Saft,the juice
sagen,say
"die (Schlag-)Sahne (D)
→ A: (Schlag-)Obers; CH: (Schlag-)Rahm","the (whipped) cream (D)
→ A: (whipped) cream; CH: (whipped) cream"
die Saison,the season
der Salat,the salad
die Salbe,the ointment
der Salon,the salon
das Salz,the salt
salzig,salty
sammeln,collect
sämtliche,all
der Sand,the sand
der Sänger,the singer
satt,fed up
der Satz,the sentence
sauber,clean
sauer,sour
die Schachtel,the box
schade,too bad
schaden,damage
der Schaden,the damage
schädlich,harmful
schaffen,create
schalten,switch
der Schalter,the desk
scharf,sharp
der Schatten,the shadow
schätzen,treasure
schauen,look
zuschauen,watch
das Schaufenster,the shop window
der Schauspieler,the actor
die Scheibe,the disc
sich scheiden lassen,get divorced
geschieden,divorced
die Scheidung,the divorce
der Schein,the appearance
scheinen,seem
schenken,give
die Schere,the scissors
schicken,send
schieben,push
schief,wrong
schießen,shoot
das Schiff,the ship
das Schild,the shield
schimpfen,scold
der Schinken,the ham
der Schirm,the umbrella
schlafen,sleep
der Schlaf,the sleep
schlagen,hit
"der/das (Schlag-)Obers (A)
→ D: (Schlag-)Sahne; CH: (Schlag-)Rahm","the (whipped) cream (A)
→ D: (whipped) cream; CH: (whipped) cream"
die Schlange,the snake
schlank,slim
schlecht,bad
schließen,close
schließlich,finally
schlimm,terrible
das Schloss,the castle
der Schluss,the conclusion
der Schlüssel,the key
schmal,narrow
schmecken,taste good
der Schmerz,the pain
das Schmerzmittel,the painkiller
schminken,make up
der Schmuck,the jewelry
der Schmutz,the dirt
schmutzig,dirty
verschmutzen,pollute
der Schnee,the snow
schneien,snow
(sich) schneiden,to cut (oneself).
schnell,fast
das Schnitzel,the schnitzel
der Schnupfen,the cold
die Schokolade,the chocolate
schon,already
schön,nice
der Schrank,the cupboard
der Schreck(en),the fright(s)
schrecklich,terrible
schreiben,write
aufschreiben,write down
das Schreiben,the writing
schreien,scream
die Schrift,the writing
schriftlich,in written form
der Schriftsteller,the writer
der Schritt,the step
der Schuh,the shoe
die Schuld,the blame
schuld,fault
die Schulden (Pl.),the debts (pl.)
schuldig,guilty
die Schule,the school
die Schularbeit,the school work
der Schüler,the student
die Schulter,the shoulder
die Schüssel,the bowl
schütteln,shake
schützen,protect
der Schutz,the protection
schwach,weak
das Schwammerl,the mushroom
die Schwangerschaft,the pregnancy
schweigen,be silent
schwer,difficult
die Schwester,the sister
Schwieger-,in-law
schwierig,difficult
die Schwierigkeit,the difficulty
schwimmen,to swim
das Schwimmbad,the swimming pool
schwitzen,sweat
der See,the lake
die See,the sea
die Nord-/Ostsee,the North/Baltic Sea
sehen,see
die Sehenswürdigkeit,the sight
sehr,very
die Seife,the soap
sein,be
seit,since
seitdem,since
die Seite,the page
der Sekretär,the secretary
selb-,self-
selbst,himself
selber,himself
selbstständig,self-employed
selbstverständlich,of course
selten,rarely
seltsam,strange
das Semester,the semester
das Seminar,the seminar
die Semmel,the roll
senden,send
der Sender,the transmitter
die Sendung,the broadcast
die Senioren (Pl.),the seniors (pl.)
senkrecht,perpendicular
die Serie,the series
der Service,the service
der Serviceangestellte,the service employee
der Sessel,the armchair
der Sessel,the armchair
(sich) setzen,(to sit down
sicher,secure
die Sicherheit,the security
sichern,secure
sichtbar,visible
siegen,win
der Sieg,the victory
der Sieger,the winner
(sich) siezen,(to) sit
singen,sing
sinken,sink
der Sinn,the meaning
sinnlos,pointless
sinnvoll,sensible
die Situation,the situation
sitzen,sit
der Sitz,the seat
der Ski/Schi,the ski/ski
so,so
sobald,as soon as
die Socke,the sock
sodass,so that
das Sofa,the sofa
sofort,immediately
sogenannt-,so-called-
sogar,even
der Sohn,the son
solange,as long as
solch-,such-
sollen,should
das Sonderangebot,the special offer
sondern,rather
die Sonne,the sun
sonnig,sunny
sonst,otherwise
sorgen,care for
die Sorge,the worry
die Soße/Sauce,the gravy/sauce
das Souvenir,the souvenir
soviel,so much
so viel/so viel wie,as much/as much as
sowieso,anyway
sowohl … als auch,as well as
sozial,social
der Sozialarbeiter,the social worker
spannend,exciting
sparen,save
sparsam,thrifty
der Spaß,the fun
spät,late
spätestens,at latest
spazieren gehen,go for a stroll
der Spaziergang,the walk
speichern,save
Speise-/-speise,Food/dish
die Speisekarte,the menu
der Speisewagen,the dining car
Spezial-,special
der Spezialist,the specialist
speziell,special
der Spiegel,the mirror
spielen,play
das Spiel,the game
der Spieler,the player
der Spielplatz,the playground
das Spielzeug,the toy
spitz,pointed
der Sport,the sport
die Sportart,the sport
der Sportler,the athlete
sportlich,sporty
die Sprache,the language
die Fremdsprache,the foreign language
die Muttersprache,the native language
die Zweitsprache,the second language
sprechen,speak
die Sprechstunde,the consultation hour
springen,jump
die Spritze,the syringe
spülen,wash
die Spur,the trail
spüren,sense
das Stadion,the stadium
die Stadt,the city
städtisch,urban
der Stadtplan,the city map
stammen,originate
ständig,constant
der Standpunkt,the point of view
der Star,the star
stark,strong
starten,start
der Start,the start
die Station,the station
die Statistik,the statistics
statistisch,statistical
statt,instead of
stattfinden,take place
der Stau,the traffic jam
der Staub,the dust
staubsaugen,vacuum
stechen,sting
stecken,put
die Steckdose,the socket
der Stecker,the plug
stehen,stand
stehen bleiben,remain standing
stehlen,steal
steigen,climb
steil,steep
der Stein,the stone
die Stelle,the spot
stellen,place
der Stempel,the stamp
sterben,die
der Stern,the star
die Steuer,the tax
der Steward,the steward
der Stift,the pencil
der Stil,the style
stilistisch,stylistically
still,silent
der Stiefel,the boot
die Stiege,the stairs
das Stiegenhaus,the staircase
die Stimme,the voice
stimmen,voices
die Stimmung,the mood
stinken,stink
"der Stock
→ D","the stick
→ D"
das Stockwerk,the floor
der Stoff,the fabric
stolz,proud
stoppen,stop
stören,disturb
die Störung,the disorder
(sich) stoßen,to bump into (oneself).
die Strafe,the punishment
strafbar,punishable
der Strafzettel,the traffic ticket
der Strand,the beach
die Straße,the street
die Straßenbahn,the tram
die Strecke,the route
das Streichholz,the match
streiken,strike
der Streik,the strike
(sich) streiten,(argue
der Streit,the dispute
streng,strictly
der Stress,the stress
der Strom,the stream
der Strumpf,the stocking
das Stück/-stück,the piece/piece
die Studie,the study
studieren,study
der Student,the student
der Studierende,the student
das Studium,the study
das Studio,the studio
die Stufe,the stage
der Stuhl,the chair
stumm,mute
die Stunde,the hour
der Sturm,the storm
stürzen,fall
suchen,seek
die Sucht,the addiction
süchtig,addicted
das Suchtmittel,the addictive substance
die Summe,the sum
super,super
der Supermarkt,the supermarket
die Suppe,the soup
süß,sweet
das Symbol,the symbol
sympathisch,friendly
das System,the system
die Szene,the scene
die Tabelle,the table
die Tablette,the tablet
die Tafel,the whiteboard
der Tagesablauf,the daily routine
das Tal,the valley
das Talent,the talent
tanken,refuel
die Tankstelle,the gas station
die Tante,the aunt
tanzen,dance
der Tanz,the dance
die Tasche,the bag
das Taschengeld,the pocket money
das Taschentuch,the handkerchief
die Tasse,the cup
die Tastatur,the keyboard
die Taste,the button
die Tat,the act
der Täter,the perpetrator
die Tätigkeit,the activity
die Tatsache,the fact
tatsächlich,actually
taub,deaf
tauchen,dive
tauschen,to exchange
die Technik,the technology
technisch,technically
die Technologie,the technology
der Tee,the tea
Tee ziehen lassen,Let the tea steep
teilen,split
das Teil,the part
der Teil,the part
die Teilzeit,the part time
teilnehmen,participate
die Teilnahme,the participation
der Teilnehmer,the participant
telefonieren,make a phone call
das Telefon,the phone
der Teller,the dish
die Temperatur,the temperature
das Tempo,the pace
das Tennis,the tennis
der Teppich,the carpet
der Termin,the appointment
der Terminkalender,the appointment calendar
die Terrasse,the terrace
testen,test
der Test,the test
teuer,expensive
der Text,the text
das Theater,the theater
das Thema,the topic
theoretisch,theoretically
die Theorie,the theory
die Therapie,the therapy
das Ticket,the ticket
tief,deep
das Tier,the animal
das Haustier,the pet
der Tierpark,the zoo
der Tipp,the tip
tippen,tap
der Tisch,the table
der Titel,the title
die Tochter,the daughter
der Tod,the death
tödlich,fatal
die Toilette,the toilet
tolerant,tolerant
toll,great
die Tomate,the tomato
der Topf,the pot
das Tor,the gate
die Torte,the cake
tot,dead
der Tote,the dead man
total,total
der Tourismus,tourism
der Tourist,the tourist
die Tradition,the tradition
traditionell,traditional
tragen,carry
trainieren,train
der Trainer,the coach
das Training,the training
das Tram,the tram
die Träne,the tear
der Transport,the transport
träumen,dream
der Traum,the dream
Traum-,Dream-
traurig,sad
treffen,meet
der Treffpunkt,the meeting point
treiben,to drive
(sich) trennen,(separate
die Trennung,the separation
getrennt leben,live separately
die Treppe,the stairs
das Treppenhaus,the stairwell
treten,step
treu,faithful
trinken,drink
das Trinkgeld,the tip
trocken,dry
trocknen,dry
die Tropfen (Pl.),the drops (pl.)
das Trottoir,the sidewalk
trotz,despite
trotzdem,despite it
das Tuch,the cloth
tun,do
die Tür,the door
der Turm,the tower
die Tüte,the bag
der Typ,the guy
typisch,typical
die U-Bahn,the subway
üben,practice
die Übung,the exercise
über,above
überall,everywhere
überfahren,run over
überhaupt,at all
überholen,overtake
überlegen,superior
übermorgen,the day after tomorrow
übernachten,stay overnight
die Übernachtung,the overnight stay
übernehmen,take over
überprüfen,check
überqueren,cross over
überraschen,surprise
die Überraschung,the surprise
überreden,convince
die Überschrift,the headline
übersetzen,translate
der Übersetzer,the translator
die Übersetzung,the translation
die Überstunde,the overtime
übertreiben,exaggerate
überweisen,transfer
die Überweisung,the transfer
(sich) überzeugen,convince (oneself).
üblich,usual
übrig,left over
übrigens,by the way
das Ufer,the shore
die Uhr,the clock
um,around
umarmen,embrace
um … zu,in order to
(sich) umdrehen,(to) turn around
die Umfrage,the survey
die Umgebung,the environment
umgehen,evade
umgekehrt,vice versa
die Umleitung,the redirection
umso,all the more
umsonst,for free
umsteigen,transfer
umtauschen,exchange
der Umtausch,the exchange
die Umwelt,the environment
der Umweltschutz,the environmental protection
die Umweltverschmutzung,the environmental pollution
umziehen,move
der Umzug,the move
sich umziehen,get changed
un-,U.N-
unbedingt,absolutely
und,and
der Unfall,the accident
ungefähr,approximately
ungewöhnlich,unusual
unglaublich,incredible
das Unglück,the misfortune
unheimlich,scary
die Uniform,the uniform
die Universität,the university
unten,below
unter,under
unter-,under-
unterbrechen,interrupt
(sich) unterhalten,(talk
die Unterhaltung,the entertainment
die Unterkunft,the accommodation
die Unterlagen (Pl.),the documents (pl.)
unterlassen,refrain from
unternehmen,company
der Unternehmer,the entrepreneur
unterrichten,teach
der Unterricht,the lesson
untersagt,prohibited
unterscheiden,differentiate
der Unterschied,the difference
unterschiedlich,different
unterschreiben,sign
die Unterschrift,the signature
unterstreichen,underline
unterstützen,support
die Unterstützung,the support
untersuchen,investigate
die Untersuchung,the investigation
unterwegs,on the way
die Urkunde,the certificate
der Urlaub,the holidays
die Ursache,the cause
verursachen,cause
ursprünglich,originally
das Urteil,the verdict
die Vase,the vase
der Vater,the father
vegetarisch,vegetarian
das Velo,the bike
(sich) verabreden,(arrange to meet
verabredet,have an appointment
die Verabredung,the appointment
(sich) verabschieden,(say goodbye
der Abschied,the farewell
(sich) verändern,(change
die Veranstaltung,the event
verantwortlich,responsible
die Verantwortung,the responsibility
(sich) verbessern,(to) improve
verbieten,forbid
das Verbot,the ban
verboten,forbidden
verbinden,connect
die Verbindung,the connection
verbrauchen,consume
der Verbrecher,the criminal
(sich) verbrennen,burn (yourself).
verbringen,spend
der Verdacht,the suspicion
verdächtig,suspicious
verdienen,earn
der Verein,the Union
vereinbaren,agree
die Vergangenheit,the past
vergeblich,vain
vergessen,forget
vergleichen,compare
der Vergleich,the comparison
sich vergnügen,have fun
das Vergnügen,the pleasure
vergnügt,happy
vergrößern,enlarge
verhaften,arrest
sich verhalten,behave
das Verhalten,the behavior
das Verhältnis,the relationship
verheiratet,married
verhindern,impede
verkaufen,sell
der Verkäufer,the seller
der Verkehr,the traffic
das Verkehrsmittel,the means of transport
der Verlag,the publisher
verlangen,demand
verlängern,extend
verlassen,leave
sich verlaufen,get lost
(sich) verletzen,(get hurt
die Verletzung,the injury
sich verlieben,fall in love
verliebt,in love
verlieren,lose
der Verlierer,the loser
der Verlust,the loss
vermeiden,avoid
vermieten,rent
der Vermieter,the landlord
die Vermietung,the rental
vermissen,miss
die Vermittlung,the mediation
vermuten,assume
vermutlich,allegedly
vernünftig,reasonable
verpacken,pack
verpassen,miss
verpflegen,cater
verpflichtet,obligated
verraten,betrayed
verreisen,travel
verrückt,crazy
die Versammlung,the assembly
versäumen,miss
verschieben,move
verschieden,different
verschreiben,prescribe
verschwinden,disappear
versichern,assure
die Versichertenkarte,the insurance card
die Versicherung,the insurance
die Verspätung,the delay
versprechen,promise
verständlich,understandable
das Verständnis,the understanding
(sich) verstecken,(to hide oneself
(sich) verstehen,(understand each other
versuchen,attempt
der Versuch,the attempt
verteilen,distribute
der Vertrag,the contract
vertrauen,trust
das Vertrauen,the trust
vertreten,represent
der Vertreter,the representative
die Vertretung,the representation
verurteilen,condemn
die Verwaltung,the administration
verwandt,related
der Verwandte,the relative
verwechseln,confuse with
verwenden,use
verzeihen,pardon
Verzeihung,forgiveness
verzichten,waive
das Video,the video
viel/viele,much/many
vielleicht,perhaps
das Viertel,the quarter
virtuell,virtual
der Virus,the virus
die Visitenkarte,the business card
das Visum,the visa
das Vitamin,the vitamin
voll,full
die Vollzeit,the full time
Volleyball,volleyball
völlig,fully
von,from
voneinander,from each other
vor,before
vor allem,above all
voraus,in advance
die Voraussetzung,the prerequisite
voraussichtlich,expected
vorbei/vorbei-,over/past-
(sich) vorbereiten,(get ready
die Vorbereitung,the preparation
vorder-,before the-
die Vorfahrt,the right of way
vorgestern,the day before yesterday
vorhaben,plan
vorher,previously
vorhin,earlier
vorkommen,happen
vorläufig,provisionally
vorlesen,read aloud
vorn,front
der Vorort,the suburb
vorschlagen,suggest
der Vorschlag,the suggestion
die Vorschrift,the regulation
die Vorsicht,the caution
vorsichtig,cautious
(sich) vorstellen,(to) imagine
die Vorstellung,the idea
das Vorstellungsgespräch,the interview
der Vorteil,the advantage
der Vortrag,the lecture
die Vorwahl,the area code
vorwärts,forward
der Vorwurf,the accusation
waagerecht,horizontally
wach,awake
wachsen,grow
der Wagen,the car
wählen,choose
die Wahl,the choice
wahnsinnig,insane
wahr,true
die Wahrheit,the truth
während,while
wahrscheinlich,probably
der Wald,the forest
die Wand,the wall
wandern,hike
die Wanderung,the hike
wann,When
die Ware,the goods
warm,warm
die Wärme,the warmth
warnen,warn
warten,wait
warum,Why
was,What
was für ein-,what a-
(sich) waschen,(to wash one self
die Wäsche,the laundry
das Waschmittel,the detergent
das Wasser,the water
wechseln,change
wecken,wake up
der Wecker,the alarm clock
weder … noch,neither nor
der Weg,the way
weg/weg-,away/away-
wegen,because of
wehtun,hurt
weiblich,female
weich,soft
sich weigern,refuse
weil,because
der Wein,the wine
weinen,cry
-weise,-way
weit,far
weiter/weiter-,further/further-
die Weiterbildung,the further training
welcher,which
die Welt,the world
weltweit,worldwide
wenden,turn around
wenig/wenige,little/few
wenigstens,at least
wenn,if
wer,who
die Werbung,the advertising
werden,become
werfen,throw
das Werk,the work
die Werkstatt,the workshop
das Werkzeug,the tool
wert,value
der Wert,the value
wertlos,worthless
wertvoll,valuable
weshalb,for what reason
der Wettbewerb,the competition
wetten,bet
das Wetter,the weather
der Wetterbericht,the weather report
die Wettervorhersage,the weather forecast
wichtig,important
widersprechen,contradict
wie,How
wieder/wieder-,again/again-
die Wiederholung,the repetition
wiegen,weigh
wild,wild
die Wiese,the meadow
wieso,how come
wie viel(e),how many)
willkommen,welcome
der Wind,the wind
windig,windy
winken,wave
wirken,works
die Wirkung,the effect
wirklich,really
die Wirklichkeit,the reality
der Wirt,the host
die Wirtschaft,the economy
wissen,knowledge
das Wissen,the knowledge
die Wissenschaft,the science
der Wissenschaftler,the scientist
der Witz,the joke
wo,where
woher,from where
wohin,where
wohl,probably
wohnen,reside
der Wohnort,the place of residence
der Wohnsitz,the residence
die Wohnung,the apartment
das Wohnzimmer,the living room
die Wolke,the cloud
bewölkt,cloudy
die Wolle,the wool
wollen,want
worüber,about what
worum,what about
das Wort,the word
das Wort,the word
das Wörterbuch,the dictionary
die Wunde,the wound
das Wunder,the miracle
wunderbar,wonderful
wunderschön,beautiful
sich wundern,to wonder
(sich) wünschen,(make a Wish
der Wunsch,the desire
die Wurst,the sausage
wütend,angry
die Zahl,the number
die Anzahl,the number
zahlreich,numerous
zahlen,pay
die Zahlung,the payment
zählen,to count
der Zahn,the tooth
die Zahncreme/-pasta,the toothpaste/paste
die Zange,the pliers
das Zeichen,the sign
das Verkehrszeichen,the traffic sign
zeichnen,draw
die Zeichnung,the drawing
